property_id,check_in_date,room_category,successful_bookings,capacity,occupancy
16558,2022-06-02,RT1,9,19,47.36842105
16558,2022-06-03,RT1,8,19,42.10526316
16558,2022-06-03,RT2,13,22,59.09090909
16558,2022-06-03,RT4,2,3,66.66666667
16558,2022-06-03,RT3,4,8,50
16558,2022-06-04,RT1,17,19,89.47368421
16558,2022-06-04,RT2,16,22,72.72727273
16558,2022-06-04,RT3,6,8,75
16558,2022-06-04,RT4,2,3,66.66666667
16558,2022-06-05,RT3,7,8,87.5
16558,2022-06-05,RT4,3,3,100
16558,2022-06-05,RT2,18,22,81.81818182
16558,2022-06-05,RT1,17,19,89.47368421
16558,2022-06-06,RT4,2,3,66.66666667
16558,2022-06-06,RT2,16,22,72.72727273
16558,2022-06-06,RT1,12,19,63.15789474
16558,2022-06-06,RT3,6,8,75
16558,2022-06-07,RT2,13,22,59.09090909
16558,2022-06-07,RT4,2,3,66.66666667
16558,2022-06-07,RT1,13,19,68.42105263
16558,2022-06-07,RT3,5,8,62.5
16558,2022-06-08,RT1,13,19,68.42105263
16558,2022-06-08,RT3,4,8,50
16558,2022-06-08,RT2,13,22,59.09090909
16558,2022-06-08,RT4,2,3,66.66666667
16558,2022-06-09,RT1,10,19,52.63157895
16558,2022-06-09,RT3,5,8,62.5
16558,2022-06-09,RT4,3,3,100
16558,2022-06-09,RT2,14,22,63.63636364
16558,2022-06-10,RT3,6,8,75
16558,2022-06-10,RT4,3,3,100
16558,2022-06-10,RT2,16,22,72.72727273
16558,2022-06-10,RT1,11,19,57.89473684
16558,2022-06-11,RT4,3,3,100
16558,2022-06-11,RT1,18,19,94.73684211
16558,2022-06-11,RT2,21,22,95.45454545
16558,2022-06-11,RT3,7,8,87.5
16558,2022-06-12,RT4,3,3,100
16558,2022-06-12,RT3,7,8,87.5
16558,2022-06-12,RT2,20,22,90.90909091
16558,2022-06-12,RT1,17,19,89.47368421
16558,2022-06-13,RT1,9,19,47.36842105
16558,2022-06-13,RT3,5,8,62.5
16558,2022-06-13,RT4,2,3,66.66666667
16558,2022-06-13,RT2,12,22,54.54545455
16558,2022-06-14,RT2,13,22,59.09090909
16558,2022-06-14,RT4,2,3,66.66666667
16558,2022-06-14,RT3,5,8,62.5
16558,2022-06-14,RT1,12,19,63.15789474
16558,2022-06-15,RT4,2,3,66.66666667
16558,2022-06-15,RT2,15,22,68.18181818
16558,2022-06-15,RT1,11,19,57.89473684
16558,2022-06-15,RT3,5,8,62.5
16558,2022-06-16,RT4,2,3,66.66666667
16558,2022-06-16,RT2,14,22,63.63636364
16558,2022-06-16,RT3,5,8,62.5
16558,2022-06-16,RT1,10,19,52.63157895
16558,2022-06-17,RT4,2,3,66.66666667
16558,2022-06-17,RT3,5,8,62.5
16558,2022-06-17,RT2,14,22,63.63636364
16558,2022-06-17,RT1,10,19,52.63157895
16558,2022-06-18,RT4,3,3,100
16558,2022-06-18,RT1,17,19,89.47368421
16558,2022-06-18,RT3,7,8,87.5
16558,2022-06-18,RT2,21,22,95.45454545
16558,2022-06-19,RT1,13,19,68.42105263
16558,2022-06-19,RT3,6,8,75
16558,2022-06-19,RT4,2,3,66.66666667
16558,2022-06-19,RT2,19,22,86.36363636
16558,2022-06-20,RT1,12,19,63.15789474
16558,2022-06-20,RT2,11,22,50
16558,2022-06-20,RT3,3,8,37.5
16558,2022-06-20,RT4,2,3,66.66666667
16558,2022-06-21,RT1,9,19,47.36842105
16558,2022-06-21,RT2,10,22,45.45454545
16558,2022-06-21,RT3,3,8,37.5
16558,2022-06-21,RT4,2,3,66.66666667
16558,2022-06-22,RT4,2,3,66.66666667
16558,2022-06-22,RT3,4,8,50
16558,2022-06-22,RT2,10,22,45.45454545
16558,2022-06-22,RT1,10,19,52.63157895
16558,2022-06-23,RT1,9,19,47.36842105
16558,2022-06-23,RT2,11,22,50
16558,2022-06-23,RT3,4,8,50
16558,2022-06-23,RT4,2,3,66.66666667
16558,2022-06-24,RT4,2,3,66.66666667
16558,2022-06-24,RT3,4,8,50
16558,2022-06-24,RT1,11,19,57.89473684
16558,2022-06-24,RT2,11,22,50
16558,2022-06-25,RT1,14,19,73.68421053
16558,2022-06-25,RT2,15,22,68.18181818
16558,2022-06-25,RT3,7,8,87.5
16558,2022-06-25,RT4,2,3,66.66666667
16558,2022-06-26,RT4,3,3,100
16558,2022-06-26,RT1,16,19,84.21052632
16558,2022-06-26,RT2,21,22,95.45454545
16558,2022-06-26,RT3,8,8,100
16558,2022-06-27,RT2,13,22,59.09090909
16558,2022-06-27,RT3,5,8,62.5
16558,2022-06-27,RT4,2,3,66.66666667
16558,2022-06-27,RT1,12,19,63.15789474
16558,2022-06-28,RT1,11,19,57.89473684
16558,2022-06-28,RT2,15,22,68.18181818
16558,2022-06-28,RT3,5,8,62.5
16558,2022-06-28,RT4,2,3,66.66666667
16558,2022-06-29,RT1,12,19,63.15789474
16558,2022-06-29,RT2,15,22,68.18181818
16558,2022-06-29,RT3,5,8,62.5
16558,2022-06-29,RT4,2,3,66.66666667
16558,2022-06-30,RT2,15,22,68.18181818
16558,2022-06-30,RT1,13,19,68.42105263
16558,2022-06-30,RT4,2,3,66.66666667
16558,2022-06-30,RT3,5,8,62.5
16558,2022-07-01,RT2,13,22,59.09090909
16558,2022-07-01,RT1,11,19,57.89473684
16558,2022-07-01,RT3,5,8,62.5
16558,2022-07-01,RT4,2,3,66.66666667
16558,2022-07-02,RT4,3,3,100
16558,2022-07-02,RT2,19,22,86.36363636
16558,2022-07-02,RT3,7,8,87.5
16558,2022-07-02,RT1,17,19,89.47368421
16558,2022-07-03,RT4,3,3,100
16558,2022-07-03,RT1,18,19,94.73684211
16558,2022-07-03,RT2,21,22,95.45454545
16558,2022-07-03,RT3,7,8,87.5
16558,2022-07-04,RT3,5,8,62.5
16558,2022-07-04,RT4,2,3,66.66666667
16558,2022-07-04,RT2,12,22,54.54545455
16558,2022-07-04,RT1,14,19,73.68421053
16558,2022-07-05,RT4,2,3,66.66666667
16558,2022-07-05,RT1,13,19,68.42105263
16558,2022-07-05,RT2,15,22,68.18181818
16558,2022-07-05,RT3,5,8,62.5
16558,2022-07-06,RT3,5,8,62.5
16558,2022-07-06,RT2,14,22,63.63636364
16558,2022-07-06,RT1,10,19,52.63157895
16558,2022-07-06,RT4,2,3,66.66666667
16558,2022-07-07,RT1,12,19,63.15789474
16558,2022-07-07,RT4,2,3,66.66666667
16558,2022-07-07,RT3,6,8,75
16558,2022-07-07,RT2,13,22,59.09090909
16558,2022-07-08,RT3,5,8,62.5
16558,2022-07-08,RT2,13,22,59.09090909
16558,2022-07-08,RT1,12,19,63.15789474
16558,2022-07-08,RT4,2,3,66.66666667
16558,2022-07-09,RT1,16,19,84.21052632
16558,2022-07-09,RT2,19,22,86.36363636
16558,2022-07-09,RT3,7,8,87.5
16558,2022-07-09,RT4,3,3,100
16558,2022-07-10,RT1,19,19,100
16558,2022-07-10,RT2,20,22,90.90909091
16558,2022-07-10,RT3,8,8,100
16558,2022-07-10,RT4,3,3,100
16558,2022-07-11,RT1,11,19,57.89473684
16558,2022-07-11,RT2,16,22,72.72727273
16558,2022-07-11,RT3,5,8,62.5
16558,2022-07-11,RT4,2,3,66.66666667
16558,2022-07-12,RT1,10,19,52.63157895
16558,2022-07-12,RT4,2,3,66.66666667
16558,2022-07-12,RT3,5,8,62.5
16558,2022-07-12,RT2,13,22,59.09090909
16558,2022-07-13,RT4,2,3,66.66666667
16558,2022-07-13,RT3,6,8,75
16558,2022-07-13,RT1,10,19,52.63157895
16558,2022-07-13,RT2,12,22,54.54545455
16558,2022-07-14,RT4,2,3,66.66666667
16558,2022-07-14,RT3,5,8,62.5
16558,2022-07-14,RT2,14,22,63.63636364
16558,2022-07-14,RT1,13,19,68.42105263
16558,2022-07-15,RT2,13,22,59.09090909
16558,2022-07-15,RT3,5,8,62.5
16558,2022-07-15,RT4,2,3,66.66666667
16558,2022-07-15,RT1,11,19,57.89473684
16558,2022-07-16,RT4,3,3,100
16558,2022-07-16,RT3,8,8,100
16558,2022-07-16,RT1,16,19,84.21052632
16558,2022-07-16,RT2,20,22,90.90909091
16558,2022-07-17,RT1,13,19,68.42105263
16558,2022-07-17,RT3,5,8,62.5
16558,2022-07-17,RT4,2,3,66.66666667
16558,2022-07-17,RT2,17,22,77.27272727
16558,2022-07-18,RT4,2,3,66.66666667
16558,2022-07-18,RT3,3,8,37.5
16558,2022-07-18,RT1,9,19,47.36842105
16558,2022-07-18,RT2,11,22,50
16558,2022-07-19,RT3,4,8,50
16558,2022-07-19,RT4,3,3,100
16558,2022-07-19,RT1,12,19,63.15789474
16558,2022-07-19,RT2,11,22,50
16558,2022-07-20,RT4,2,3,66.66666667
16558,2022-07-20,RT3,3,8,37.5
16558,2022-07-20,RT2,10,22,45.45454545
16558,2022-07-20,RT1,12,19,63.15789474
16558,2022-07-21,RT1,10,19,52.63157895
16558,2022-07-21,RT2,11,22,50
16558,2022-07-21,RT3,4,8,50
16558,2022-07-21,RT4,2,3,66.66666667
16558,2022-07-22,RT3,4,8,50
16558,2022-07-22,RT2,12,22,54.54545455
16558,2022-07-22,RT4,2,3,66.66666667
16558,2022-07-22,RT1,10,19,52.63157895
16558,2022-07-23,RT3,6,8,75
16558,2022-07-23,RT2,18,22,81.81818182
16558,2022-07-23,RT1,14,19,73.68421053
16558,2022-07-23,RT4,3,3,100
16558,2022-07-24,RT4,3,3,100
16558,2022-07-24,RT3,6,8,75
16558,2022-07-24,RT2,17,22,77.27272727
16558,2022-07-24,RT1,15,19,78.94736842
16558,2022-07-25,RT1,10,19,52.63157895
16558,2022-07-25,RT2,10,22,45.45454545
16558,2022-07-25,RT3,4,8,50
16558,2022-07-25,RT4,2,3,66.66666667
16558,2022-07-26,RT2,12,22,54.54545455
16558,2022-07-26,RT4,2,3,66.66666667
16558,2022-07-26,RT1,10,19,52.63157895
16558,2022-07-26,RT3,4,8,50
16558,2022-07-27,RT3,3,8,37.5
16558,2022-07-27,RT2,12,22,54.54545455
16558,2022-07-27,RT4,2,3,66.66666667
16558,2022-07-27,RT1,10,19,52.63157895
16558,2022-07-28,RT1,9,19,47.36842105
16558,2022-07-28,RT2,14,22,63.63636364
16558,2022-07-28,RT3,5,8,62.5
16558,2022-07-28,RT4,2,3,66.66666667
16558,2022-07-29,RT4,2,3,66.66666667
16558,2022-07-29,RT1,9,19,47.36842105
16558,2022-07-29,RT2,13,22,59.09090909
16558,2022-07-29,RT3,3,8,37.5
16558,2022-07-30,RT4,3,3,100
16558,2022-07-30,RT2,14,22,63.63636364
16558,2022-07-30,RT3,6,8,75
16558,2022-07-30,RT1,13,19,68.42105263
16558,2022-07-31,RT2,14,22,63.63636364
16558,2022-07-31,RT1,16,19,84.21052632
16558,2022-07-31,RT3,7,8,87.5
16558,2022-07-31,RT4,2,3,66.66666667
16559,2022-05-01,RT1,25,30,83.33333333
16559,2022-05-01,RT3,27,32,84.375
16559,2022-05-01,RT2,35,41,85.36585366
16559,2022-05-01,RT4,17,18,94.44444444
16559,2022-05-02,RT2,23,41,56.09756098
16559,2022-05-02,RT3,20,32,62.5
16559,2022-05-02,RT4,12,18,66.66666667
16559,2022-05-02,RT1,20,30,66.66666667
16559,2022-05-03,RT2,26,41,63.41463415
16559,2022-05-03,RT3,21,32,65.625
16559,2022-05-03,RT1,17,30,56.66666667
16559,2022-05-03,RT4,11,18,61.11111111
16559,2022-05-04,RT1,21,30,70
16559,2022-05-04,RT3,19,32,59.375
16559,2022-05-04,RT2,28,41,68.29268293
16559,2022-05-04,RT4,11,18,61.11111111
16559,2022-05-05,RT4,13,18,72.22222222
16559,2022-05-05,RT2,24,41,58.53658537
16559,2022-05-05,RT3,20,32,62.5
16559,2022-05-05,RT1,16,30,53.33333333
16559,2022-05-06,RT4,11,18,61.11111111
16559,2022-05-06,RT1,21,30,70
16559,2022-05-06,RT2,23,41,56.09756098
16559,2022-05-06,RT3,20,32,62.5
16559,2022-05-07,RT4,16,18,88.88888889
16559,2022-05-07,RT3,28,32,87.5
16559,2022-05-07,RT2,36,41,87.80487805
16559,2022-05-07,RT1,28,30,93.33333333
16559,2022-05-08,RT3,30,32,93.75
16559,2022-05-08,RT4,17,18,94.44444444
16559,2022-05-08,RT2,39,41,95.12195122
16559,2022-05-08,RT1,28,30,93.33333333
16559,2022-05-09,RT3,20,32,62.5
16559,2022-05-09,RT4,11,18,61.11111111
16559,2022-05-09,RT2,28,41,68.29268293
16559,2022-05-09,RT1,20,30,66.66666667
16559,2022-05-10,RT1,18,30,60
16559,2022-05-10,RT4,13,18,72.22222222
16559,2022-05-10,RT3,20,32,62.5
16559,2022-05-10,RT2,25,41,60.97560976
16559,2022-05-11,RT1,17,30,56.66666667
16559,2022-05-11,RT3,21,32,65.625
16559,2022-05-11,RT4,12,18,66.66666667
16559,2022-05-11,RT2,23,41,56.09756098
16559,2022-05-12,RT3,23,32,71.875
16559,2022-05-12,RT4,11,18,61.11111111
16559,2022-05-12,RT2,24,41,58.53658537
16559,2022-05-12,RT1,19,30,63.33333333
16559,2022-05-13,RT2,22,41,53.65853659
16559,2022-05-13,RT1,18,30,60
16559,2022-05-13,RT3,19,32,59.375
16559,2022-05-13,RT4,11,18,61.11111111
16559,2022-05-14,RT3,26,32,81.25
16559,2022-05-14,RT1,29,30,96.66666667
16559,2022-05-14,RT2,37,41,90.24390244
16559,2022-05-14,RT4,15,18,83.33333333
16559,2022-05-15,RT2,31,41,75.6097561
16559,2022-05-15,RT3,22,32,68.75
16559,2022-05-15,RT4,12,18,66.66666667
16559,2022-05-15,RT1,23,30,76.66666667
16559,2022-05-16,RT3,14,32,43.75
16559,2022-05-16,RT4,10,18,55.55555556
16559,2022-05-16,RT2,23,41,56.09756098
16559,2022-05-16,RT1,15,30,50
16559,2022-05-17,RT2,19,41,46.34146341
16559,2022-05-17,RT1,16,30,53.33333333
16559,2022-05-17,RT3,18,32,56.25
16559,2022-05-17,RT4,8,18,44.44444444
16559,2022-05-18,RT3,14,32,43.75
16559,2022-05-18,RT1,15,30,50
16559,2022-05-18,RT2,18,41,43.90243902
16559,2022-05-18,RT4,9,18,50
16559,2022-05-19,RT1,17,30,56.66666667
16559,2022-05-19,RT3,13,32,40.625
16559,2022-05-19,RT4,9,18,50
16559,2022-05-19,RT2,17,41,41.46341463
16559,2022-05-20,RT4,9,18,50
16559,2022-05-20,RT2,17,41,41.46341463
16559,2022-05-20,RT1,15,30,50
16559,2022-05-20,RT3,16,32,50
16559,2022-05-21,RT1,19,30,63.33333333
16559,2022-05-21,RT3,23,32,71.875
16559,2022-05-21,RT2,28,41,68.29268293
16559,2022-05-21,RT4,13,18,72.22222222
16559,2022-05-22,RT3,28,32,87.5
16559,2022-05-22,RT1,28,30,93.33333333
16559,2022-05-22,RT2,38,41,92.68292683
16559,2022-05-22,RT4,16,18,88.88888889
16559,2022-05-23,RT2,24,41,58.53658537
16559,2022-05-23,RT3,22,32,68.75
16559,2022-05-23,RT4,9,18,50
16559,2022-05-23,RT1,18,30,60
16559,2022-05-24,RT1,21,30,70
16559,2022-05-24,RT2,23,41,56.09756098
16559,2022-05-24,RT3,18,32,56.25
16559,2022-05-24,RT4,13,18,72.22222222
16559,2022-05-25,RT3,19,32,59.375
16559,2022-05-25,RT4,10,18,55.55555556
16559,2022-05-25,RT2,26,41,63.41463415
16559,2022-05-25,RT1,20,30,66.66666667
16559,2022-05-26,RT3,23,32,71.875
16559,2022-05-26,RT1,21,30,70
16559,2022-05-26,RT2,26,41,63.41463415
16559,2022-05-26,RT4,12,18,66.66666667
16559,2022-05-27,RT4,11,18,61.11111111
16559,2022-05-27,RT2,28,41,68.29268293
16559,2022-05-27,RT1,18,30,60
16559,2022-05-27,RT3,22,32,68.75
16559,2022-05-28,RT2,36,41,87.80487805
16559,2022-05-28,RT3,31,32,96.875
16559,2022-05-28,RT1,26,30,86.66666667
16559,2022-05-28,RT4,18,18,100
16559,2022-05-29,RT2,31,41,75.6097561
16559,2022-05-29,RT4,15,18,83.33333333
16559,2022-05-29,RT3,27,32,84.375
16559,2022-05-29,RT1,23,30,76.66666667
16559,2022-05-30,RT1,14,30,46.66666667
16559,2022-05-30,RT4,9,18,50
16559,2022-05-30,RT2,24,41,58.53658537
16559,2022-05-30,RT3,17,32,53.125
16559,2022-05-31,RT1,16,30,53.33333333
16559,2022-05-31,RT3,16,32,50
16559,2022-05-31,RT2,25,41,60.97560976
16559,2022-05-31,RT4,8,18,44.44444444
16559,2022-06-01,RT4,8,18,44.44444444
16559,2022-06-01,RT1,14,30,46.66666667
16559,2022-06-01,RT3,15,32,46.875
16559,2022-06-01,RT2,21,41,51.2195122
16559,2022-06-02,RT4,9,18,50
16559,2022-06-02,RT2,24,41,58.53658537
16559,2022-06-02,RT3,16,32,50
16559,2022-06-02,RT1,17,30,56.66666667
16559,2022-06-03,RT2,22,41,53.65853659
16559,2022-06-03,RT3,19,32,59.375
16559,2022-06-03,RT1,16,30,53.33333333
16559,2022-06-03,RT4,11,18,61.11111111
16559,2022-06-04,RT2,34,41,82.92682927
16559,2022-06-04,RT1,24,30,80
16559,2022-06-04,RT3,25,32,78.125
16559,2022-06-04,RT4,15,18,83.33333333
16559,2022-06-05,RT1,29,30,96.66666667
16559,2022-06-05,RT4,18,18,100
16559,2022-06-05,RT2,38,41,92.68292683
16559,2022-06-05,RT3,29,32,90.625
16559,2022-06-06,RT2,24,41,58.53658537
16559,2022-06-06,RT1,20,30,66.66666667
16559,2022-06-06,RT3,22,32,68.75
16559,2022-06-06,RT4,12,18,66.66666667
16559,2022-06-07,RT4,11,18,61.11111111
16559,2022-06-07,RT2,28,41,68.29268293
16559,2022-06-07,RT1,20,30,66.66666667
16559,2022-06-07,RT3,18,32,56.25
16559,2022-06-08,RT3,19,32,59.375
16559,2022-06-08,RT2,24,41,58.53658537
16559,2022-06-08,RT4,12,18,66.66666667
16559,2022-06-08,RT1,20,30,66.66666667
16559,2022-06-09,RT1,19,30,63.33333333
16559,2022-06-09,RT3,20,32,62.5
16559,2022-06-09,RT4,12,18,66.66666667
16559,2022-06-09,RT2,28,41,68.29268293
16559,2022-06-10,RT1,20,30,66.66666667
16559,2022-06-10,RT2,26,41,63.41463415
16559,2022-06-10,RT4,11,18,61.11111111
16559,2022-06-10,RT3,20,32,62.5
16559,2022-06-11,RT1,27,30,90
16559,2022-06-11,RT4,18,18,100
16559,2022-06-11,RT2,40,41,97.56097561
16559,2022-06-11,RT3,28,32,87.5
16559,2022-06-12,RT1,28,30,93.33333333
16559,2022-06-12,RT3,28,32,87.5
16559,2022-06-12,RT2,37,41,90.24390244
16559,2022-06-12,RT4,16,18,88.88888889
16559,2022-06-13,RT3,21,32,65.625
16559,2022-06-13,RT2,23,41,56.09756098
16559,2022-06-13,RT1,18,30,60
16559,2022-06-13,RT4,12,18,66.66666667
16559,2022-06-14,RT4,10,18,55.55555556
16559,2022-06-14,RT3,17,32,53.125
16559,2022-06-14,RT1,18,30,60
16559,2022-06-14,RT2,26,41,63.41463415
16559,2022-06-15,RT1,18,30,60
16559,2022-06-15,RT2,26,41,63.41463415
16559,2022-06-15,RT3,23,32,71.875
16559,2022-06-15,RT4,11,18,61.11111111
16559,2022-06-16,RT3,20,32,62.5
16559,2022-06-16,RT1,20,30,66.66666667
16559,2022-06-16,RT2,25,41,60.97560976
16559,2022-06-16,RT4,13,18,72.22222222
16559,2022-06-17,RT1,21,30,70
16559,2022-06-17,RT4,10,18,55.55555556
16559,2022-06-17,RT2,24,41,58.53658537
16559,2022-06-17,RT3,20,32,62.5
16559,2022-06-18,RT2,37,41,90.24390244
16559,2022-06-18,RT3,29,32,90.625
16559,2022-06-18,RT1,29,30,96.66666667
16559,2022-06-18,RT4,18,18,100
16559,2022-06-19,RT3,24,32,75
16559,2022-06-19,RT2,29,41,70.73170732
16559,2022-06-19,RT1,22,30,73.33333333
16559,2022-06-19,RT4,13,18,72.22222222
16559,2022-06-20,RT4,11,18,61.11111111
16559,2022-06-20,RT1,18,30,60
16559,2022-06-20,RT3,17,32,53.125
16559,2022-06-20,RT2,20,41,48.7804878
16559,2022-06-21,RT4,10,18,55.55555556
16559,2022-06-21,RT1,13,30,43.33333333
16559,2022-06-21,RT2,23,41,56.09756098
16559,2022-06-21,RT3,16,32,50
16559,2022-06-22,RT2,22,41,53.65853659
16559,2022-06-22,RT1,15,30,50
16559,2022-06-22,RT3,16,32,50
16559,2022-06-22,RT4,9,18,50
16559,2022-06-23,RT3,19,32,59.375
16559,2022-06-23,RT4,9,18,50
16559,2022-06-23,RT2,21,41,51.2195122
16559,2022-06-23,RT1,15,30,50
16559,2022-06-24,RT4,9,18,50
16559,2022-06-24,RT3,16,32,50
16559,2022-06-24,RT1,14,30,46.66666667
16559,2022-06-24,RT2,20,41,48.7804878
16559,2022-06-25,RT4,12,18,66.66666667
16559,2022-06-25,RT2,26,41,63.41463415
16559,2022-06-25,RT1,20,30,66.66666667
16559,2022-06-25,RT3,26,32,81.25
16559,2022-06-26,RT3,28,32,87.5
16559,2022-06-26,RT4,16,18,88.88888889
16559,2022-06-26,RT2,38,41,92.68292683
16559,2022-06-26,RT1,29,30,96.66666667
16559,2022-06-27,RT4,11,18,61.11111111
16559,2022-06-27,RT2,24,41,58.53658537
16559,2022-06-27,RT3,21,32,65.625
16559,2022-06-27,RT1,19,30,63.33333333
16559,2022-06-28,RT1,21,30,70
16559,2022-06-28,RT3,21,32,65.625
16559,2022-06-28,RT2,26,41,63.41463415
16559,2022-06-28,RT4,10,18,55.55555556
16559,2022-06-29,RT1,18,30,60
16559,2022-06-29,RT4,10,18,55.55555556
16559,2022-06-29,RT3,20,32,62.5
16559,2022-06-29,RT2,23,41,56.09756098
